"","stockid","MSYbest","areaid","stocklong","region"
"58","BHEADSHARATL",NA,"USA-NMFS-ATL","Bonnethead shark Atlantic","US Southeast and Gulf"
"59","BIGEYEATL",92000,"multinational-ICCAT-ATL","Bigeye tuna Atlantic","Atlantic Ocean"
"60","BIGEYECWPAC",108520,"multinational-WCPFC-CWPAC","Bigeye tuna Central Western Pacific","Pacific Ocean"
"61","BIGEYEEPAC",106201,"multinational-IATTC-EPAC","Bigeye tuna Eastern Pacific","Pacific Ocean"
"62","BIGEYEIO",104000,"multinational-IOTC-IO","Bigeye tuna Indian Ocean","Indian Ocean"
"63","BIGHTREDSE",624.7468834,"Australia-AFMA-SE","Bight redfish Southeast Australia","Australia"
"64","BIGSKA5CDE",351,"Canada-DFO-HS","Big skate Hecate Strait","Canada West Coast"
"65","BKCDLFENI",666,"New Zealand-MFish-ENI","Black cardinalfish East coast of North Island","New Zealand"
"66","BKINGCRABPI",NA,"USA-NMFS-PI","Blue king crab Pribilof Islands","US Alaska"
"67","BKINGCRABSMI",NA,"USA-NMFS-SMI","Blue king crab Saint Matthews Island","US Alaska"
"68","BLACKGROUPERGMSATL",NA,"USA-NMFS-GMSATL","Black Grouper Gulf of Mexico and South Atlantic","US Southeast and Gulf"
"69","BLACKOREOPR",670,"New Zealand-MFish-PR","Black Oreo Pukaki Rise","New Zealand"
"70","BLACKOREOWECR",1947,"New Zealand-MFish-WECR","Black oreo West end of Chatham Rise","New Zealand"
"71","BLACKROCKCAL",343,"USA-NMFS-CAL","Black rockfish California","US West Coast"
"72","BLACKROCKORECOAST",518,"USA-NMFS-ORECOAST","Black rockfish Oregon","US West Coast"
"73","BLACKROCKWASH",NA,"USA-NMFS-WASH","Black rockfish Washington","US West Coast"
"74","BLINGVb-VI-VII",NA,"multinational-ICES-Vb-VI-VII","Blue ling Vb-VI-VII","Europe non EU"
"75","BLKMARLINIO",8605,"multinational-IOTC-IO","Black marlin Indian Ocean","Indian Ocean"
"76","BLSHARNPAC",72123,"multinational-ISC-NPAC","Blue shark North Pacific","Pacific Ocean"
"77","BLTILESATLC",102.7512886,"USA-NMFS-SATLC","Blueline tilefish Southern Atlantic coast","US Southeast and Gulf"
"78","BLUEFISHATLC",13967,"USA-NMFS-ATLC","Bluefish Atlantic Coast","US East Coast"
"79","BLUEROCKCAL",275,"USA-NMFS-CAL","Blue rockfish California","US West Coast"
"80","BMACKECS",54757.32305,"Japan-FAJ-ECS","Spotted mackerel East China Sea","Russia Japan"
"81","BMACKPJPN",145655.7838,"Japan-FAJ-PJPN","Spotted mackerel Pacific Coast of Japan","Russia Japan"
"82","BMARLINATL",2000,"multinational-ICCAT-ATL","Blue marlin Atlantic","Atlantic Ocean"
"83","BMARLINIO",9524,"multinational-IOTC-IO","Indo-Pacific blue marlin Indian Ocean","Indian Ocean"
"84","BMARLINPAC",19459,"multinational-ISC-PAC","Blue marlin Pacific Ocean","Pacific Ocean"
"85","BNOSESHARATL",89.415,"USA-NMFS-ATL","Blacknose shark Atlantic","US Southeast and Gulf"
"86","BNSNZ",1209,"New Zealand-MFish-NZ","Bluenose New Zealand","New Zealand"
"87","BOCACCBCW",NA,"Canada-DFO-BCW","Bocaccio British Columbia Waters","Canada West Coast"
"88","BOCACCSPCOAST",1347,"USA-NMFS-SPCOAST","Bocaccio Southern Pacific Coast","US West Coast"
"89","BRMSOJ",NA,"Japan-FAJ-SOJ","Yellow sea bream Sea of Japan","Russia Japan"
"90","BRNROCKPCOAST",149.9,"USA-NMFS-PCOAST","Brown rockfish Pacific Coast","US West Coast"
"91","BRNSHRIMPGM",NA,"USA-NMFS-GM","Brown shrimp Gulf of Mexico","US Southeast and Gulf"
"92","BSBASSMATLC",3284,"USA-NMFS-MATLC","Black sea bass Mid-Atlantic Coast","US East Coast"
"93","BSBASSSATL",807.394472,"USA-NMFS-SATL","Black sea bass South Atlantic","US Southeast and Gulf"
"94","BSQLOBSTERCSCH",NA,"Chile-SUBPESCA-CH-CS","Yellow squat lobster Central-Southern Chile","South America"
"95","BSQLOBSTERNCH",NA,"Chile-SUBPESCA-CH-N","Yellow squat lobster Northern Chile","South America"
"96","BTIPSHARATL",14900,"USA-NMFS-ATL","Blacktip shark Atlantic","US Southeast and Gulf"
"97","BTIPSHARGM",NA,"USA-NMFS-GM","Blacktip shark Gulf of Mexico","US Southeast and Gulf"
"98","BUTTERGOMCHATT",NA,"USA-NMFS-5YCHATT","Atlantic butterfish Gulf of Maine / Cape Hatteras","US East Coast"
"99","BWHITMEDGSA1",NA,"multinational-GFCM-GSA1","Blue whiting Northern Alboran Sea","Mediterranean-Black Sea"
"100","BWHITMEDGSA6",NA,"multinational-GFCM-GSA6","Blue whiting Northern Spain","Mediterranean-Black Sea"
"101","BWHITMEDGSA9",NA,"multinational-GFCM-GSA9","Blue whiting Ligurian and North Tyrrhenian Sea","Mediterranean-Black Sea"
"102","BWHITNEA",NA,"multinational-ICES-I-II-III-IV-V-VI-VII-VIII-IX-XII-XIV","Blue Whiting Northeast Atlantic","European Union"
"103","CABEZNCAL",129,"USA-NMFS-NCAL","Cabezon Northern California","US West Coast"
"104","CABEZORECOAST",48,"USA-NMFS-ORECOAST","Cabezon Oregon Coast","US West Coast"
"105","CABEZSCAL",30,"USA-NMFS-SCAL","Cabezon Southern California","US West Coast"
"106","CALSCORPSCAL",127,"USA-NMFS-SCAL","California scorpionfish Southern California","US West Coast"
"107","CAPEIIa-V-XIV",NA,"multinational-ICES-IIa-V-XIV","Capelin IIa-V-XIV","Europe non EU"
"108","CAPENOR",NA,"multinational-ICES-I","Capelin Barents Sea","Europe non EU"
"109","CHAKESA",62800,"South Africa-DETMCM-SA","Shallow-water cape hake South Africa","South Africa"
"110","CHILISPCOAST",2133,"USA-NMFS-SPCOAST","Chilipepper Southern Pacific Coast","US West Coast"
"111","CHMACKWA",NA,"multinational-FAO-WA","Cunene Horse Mackerel West Africa","West Africa"
"112","CHROCKCPCOAST",15.7,"USA-NMFS-CPCOAST","China rockfish Central Pacific Coast","US West Coast"
"113","CHROCKNPCOAST",NA,"USA-NMFS-NPCOAST","China rockfish Northern Pacific Coast","US West Coast"
"114","CHROCKSPCOAST",21.1,"USA-NMFS-SPCOAST","China rockfish Southern Pacific Coast","US West Coast"
"115","CHSQUIDSA",NA,"South Africa-DETMCM-SA","Cape Hope squid South Africa","South Africa"
"116","CHTRACCH",NA,"multinational-SPRFMO-CH","Chilean jack mackerel Chilean EEZ and offshore","South America"
"117","CMACKPCOAST",23048.2,"USA-NMFS-PCOAST","Pacific chub mackerel Pacific Coast","US West Coast"
"118","CMACKPJPN",355290.851,"Japan-FAJ-PJPN","Chub mackerel Pacific Coast of Japan","Russia Japan"
"119","CMACKTSST",325542.1507,"Japan-FAJ-TSST","Chub mackerel Tsushima Strait","Russia Japan"
"120","CMACKWA",NA,"multinational-FAO-WA","Chub Mackerel West Africa","West Africa"
"121","COBGM",1208,"USA-NMFS-GM","Cobia Gulf of Mexico","US Southeast and Gulf"
"122","COBSATLC",366.502336,"USA-NMFS-SATLC","Cobia Southern Atlantic coast","US Southeast and Gulf"
"123","COD1IN",NA,"multinational-ICES-1IN","Atlantic cod NAFO Subarea 1 (inshore)","Europe non EU"
"124","COD2J3KL",NA,"Canada-DFO-2J3KL","Atlantic cod NAFO 2J3KL","Canada East Coast"
"125","COD4TVn",NA,"Canada-DFO-4T","Atlantic cod NAFO 4TVn","Canada East Coast"
"126","COD4X5Yb",NA,"Canada-DFO-4X5Yb","Atlantic cod Western Scotian Shelf, Bay of Fundy and Gulf of Maine","Canada East Coast"
"127","COD5Zjm",NA,"Canada-DFO-5Zjm","Atlantic cod NAFO 5Zjm","Canada East Coast"
"128","CODBA2224",23000,"multinational-ICES-22-24","Atlantic cod Baltic Areas 22 and 24","European Union"
"129","CODBA2532",NA,"multinational-ICES-25-32","Atlantic cod Baltic Areas 25-32","European Union"
"130","CODFAPL",NA,"multinational-ICES-Vb1","Atlantic cod Faroe Plateau","Europe non EU"
"131","CODGB",28774,"USA-NMFS-5Z","Atlantic cod Georges Bank","US East Coast"
"132","CODGOM",10043,"USA-NMFS-5Y","Atlantic cod Gulf of Maine","US East Coast"
"133","CODICE",NA,"multinational-ICES-Va","Atlantic cod Iceland","Europe non EU"
"134","CODIf-XIV",NA,"multinational-ICES-If-XIV","Atlantic cod ICES If-XIV","Europe non EU"
"135","CODIIIaW-IV-VIId",NA,"multinational-ICES-IIIaW-IV-VIId","Atlantic cod IIIa (west) and IV-VIId","European Union"
"136","CODIS",NA,"multinational-ICES-VIIa","Atlantic cod Irish Sea","European Union"
"137","CODKAT",NA,"multinational-ICES-IIIa","Atlantic cod Kattegat","European Union"
"138","CODNEAR",NA,"multinational-ICES-I-II","Atlantic cod Northeast Arctic","Europe non EU"
"139","CODNEARNCW",NA,"multinational-ICES-I-II-NCW","Atlantic cod Northeast Arctic (Norwegian coastal waters)","Europe non EU"
"140","CODVIa",NA,"multinational-ICES-VIa","Atlantic cod West of Scotland","European Union"
"141","CODVIIek",10300,"multinational-ICES-VIIe-k","Atlantic Cod Celtic Sea","European Union"
"142","COWCODSCAL",69,"USA-NMFS-SCAL","Cowcod Southern California","US West Coast"
"143","CPANDMEDGSA15-16",NA,"multinational-GFCM-GSA15-16","Common pandora Malta Island and South of Sicily","Mediterranean-Black Sea"
"144","CPANDMEDGSA9",NA,"multinational-GFCM-GSA9","Common pandora Ligurian and North Tyrrhenian Sea","Mediterranean-Black Sea"
"145","CPRROCKPCOAST",196.97,"USA-NMFS-PCOAST","Copper rockfish Pacific Coast","US West Coast"
"146","CRLOBSTERSA12",NA,"South Africa-DETMCM-1-2","West coast rock lobster South Africa Areas 1-2","South Africa"
"147","CRLOBSTERSA34",NA,"South Africa-DETMCM-3-4","West coast rock lobster South Africa Areas 3-4","South Africa"
"148","CRLOBSTERSA56",NA,"South Africa-DETMCM-5-6","West coast rock lobster South Africa Areas 5-6","South Africa"
"149","CRLOBSTERSA7",NA,"South Africa-DETMCM-7","West coast rock lobster South Africa Area 7","South Africa"
"150","CRLOBSTERSA8",NA,"South Africa-DETMCM-8","West coast rock lobster South Africa Area 8","South Africa"
"151","CROCKPCOAST",1226,"USA-NMFS-PCOAST","Canary rockfish Pacific Coast","US West Coast"
"152","CROCKWCVANISOGQCI",713.7922747,"Canada-DFO-WCVANI-SOG-QCI","Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands","Canada West Coast"
"153","CSARDCSCH",NA,"Chile-SUBPESCA-CH-CS","Chilean sardine Central-Southern Chile","South America"
"154","CTRACSA",72924.09,"South Africa-DETMCM-SASC","Cape horse mackerel South Africa South coast","South Africa"
"155","CUSK4X",1482.925,"Canada-DFO-4X","Cusk NAFO 4X","Canada East Coast"
"156","CUSKVa-XIV",NA,"multinational-ICES-Va-XIV","Tusk Va and XIV","European Union"
"157","DEEPCHAKESA",118900,"South Africa-DETMCM-SA","Deep-water cape hake South Africa","South Africa"
"158","DEEPFLATHEADSE",1200.123574,"Australia-AFMA-SE","Deepwater flathead Southeast Australia","Australia"
"159","DKROCKPCOAST",674,"USA-NMFS-PCOAST","Darkblotched rockfish Pacific Coast","US West Coast"
"160","DOYSFS",NA,"New Zealand-MFish-FS","Dredge oyster Foveax Strait","New Zealand"
"161","DSKSHARGMATL",NA,"USA-NMFS-GMATL","Dusky shark Gulf of Mexico and Atlantic","US Southeast and Gulf"
"162","DSOLEGA",NA,"USA-NMFS-GA","Dover sole Gulf of Alaska","US Alaska"
"163","DSOLEPCOAST",34757,"USA-NMFS-PCOAST","Dover sole Pacific Coast","US West Coast"
"164","DUSROCKGA",NA,"USA-NMFS-GA","Dusky rockfish Gulf of Alaska","US Alaska"
"165","EBASSIVbc-VII",NA,"multinational-ICES-IVbc-VII","European seabass IVbc and VII","European Union"
"166","ESOLEHS",NA,"Canada-DFO-HS","English sole Hecate Strait","Canada West Coast"
"167","ESOLEPCOAST",3875,"USA-NMFS-PCOAST","English sole Pacific Coast","US West Coast"
"168","EULAPCOASTFRDU",112,"Canada-DFO-PCOASTFRDU","Eulachon Pacific Coast of Canada Fraser River DU","Canada West Coast"
"169","FLSOLEBSAI",83321,"USA-NMFS-BSAI","Flathead sole Bering Sea and Aleutian Islands","US Alaska"
"170","FLSOLEGA",NA,"USA-NMFS-GA","Flathead sole Gulf of Alaska","US Alaska"
"171","FMEG8c9a",NA,"multinational-ICES-VIIIc-IXa","Fourspotted megrim ICES VIIIc-IXa","European Union"
"172","FTOOTHSHARATL",NA,"USA-NMFS-ATL","Finetooth shark Atlantic","US Southeast and Gulf"
"173","GAGGM",NA,"USA-NMFS-GM","Gag Gulf of Mexico","US Southeast and Gulf"
"174","GAGSATLC",425.5603897,"USA-NMFS-SATLC","Gag Southern Atlantic coast","US Southeast and Gulf"
"175","GEMFISHNZ",1432.042733,"New Zealand-MFish-NZ","common gemfish New Zealand","New Zealand"
"176","GEMFISHSE",NA,"Australia-AFMA-SE","common gemfish Southeast Australia","Australia"
"177","GFORKBMEDGSA9",NA,"multinational-GFCM-GSA9","Greater forkbeard Ligurian and North Tyrrhenian Sea","Mediterranean-Black Sea"
"178","GHAL01ABCDEF",NA,"multinational-NAFO-01ABCDEF","Greenland halibut NAFO 01ABCDEF","Canada East Coast"
"179","GHAL23KLMNO",NA,"multinational-NAFO-23KLMNO","Greenland halibut NAFO 23KLMNO","Canada East Coast"
"180","GHALBSAI",NA,"USA-NMFS-BSAI","Greenland turbot Bering Sea and Aleutian Islands","US Alaska"
"181","GHALNEAR",NA,"multinational-ICES-I-II","Greenland halibut Northeast Arctic","Europe non EU"
"182","GOLDREDNEAR",NA,"multinational-ICES-I-II","Golden Redfish Northeast Arctic","Europe non EU"
"183","GOLDREDV-VI-XII-XIV",NA,"multinational-ICES-V-VI-XII-XIV","Golden Redfish V-VI-XII-XIV","European Union"
"184","GOPHERSPCOAST",101,"USA-NMFS-SPCOAST","Gopher rockfish Southern Pacific Coast","US West Coast"
"185","GRAMBERGM",1632.93264,"USA-NMFS-GM","Greater amberjack Gulf of Mexico","US Southeast and Gulf"
"186","GRAMBERSATLC",909.45,"USA-NMFS-SATLC","Greater amberjack Southern Atlantic coast","US Southeast and Gulf"
"187","GRNSTROCKPCOAST",803,"USA-NMFS-PCOAST","Greenstriped rockfish Pacific Coast","US West Coast"
"188","GRSHRIMPMEDGSA10",NA,"multinational-GFCM-GSA10","Giant red shrimp South Tyrrhenian Sea","Mediterranean-Black Sea"
"189","GRSHRIMPMEDGSA11",NA,"multinational-GFCM-GSA11","Giant red shrimp Sardinia","Mediterranean-Black Sea"
"190","GRSHRIMPMEDGSA12-16",NA,"multinational-GFCM-GSA12-16","Giant red shrimp Geographical Sub-Areas 12-16","Mediterranean-Black Sea"
"191","GRSHRIMPMEDGSA18-19",NA,"multinational-GFCM-GSA18-19","Giant red shrimp South Adriatic Sea and West Ionian Sea","Mediterranean-Black Sea"
"192","GRSHRIMPMEDGSA9",NA,"multinational-GFCM-GSA9","Giant red shrimp Ligurian and North Tyrrhenian Sea","Mediterranean-Black Sea"
"193","GRSPROCKNCAL",58.8,"USA-NMFS-PCOAST","Greenspotted rockfish Pacific Coast North","US West Coast"
"194","GRSPROCKSCAL",55.9,"USA-NMFS-PCOAST","Greenspotted rockfish Pacific Coast South","US West Coast"
"195","GSTRGZRSTA7",608,"New Zealand-MFish-STA7","Giant stargazer NZ Area STA7","New Zealand"
"196","GTRIGGM",446.5205007,"USA-NMFS-GM","Gray triggerfish Gulf of Mexico","US Southeast and Gulf"
"197","HAD4X5Y",14700,"Canada-DFO-4X5Y","Haddock NAFO-4X5Y","Canada East Coast"
"198","HAD5Y",1083,"USA-NMFS-5Y","Haddock NAFO-5Y","US East Coast"
"199","HADFAPL",35000,"multinational-ICES-Vb1","Haddock Faroe Plateau","Europe non EU"
"200","HADGB",24900,"USA-NMFS-GB","Haddock Georges Bank","US East Coast"
"201","HADICE",NA,"multinational-ICES-Va","Haddock Iceland","Europe non EU"
"202","HADIS",NA,"multinational-ICES-VIIa","Haddock Irish Sea","European Union"
"203","HADNEAR",NA,"multinational-ICES-I-II","Haddock Northeast Arctic","Europe non EU"
"204","HADNS-IIIa-VIa",NA,"multinational-ICES-NS-IIIa-VIa","Haddock North Sea and IIIa-VIa","European Union"
"205","HADROCK",9000,"multinational-ICES-VIb","Haddock Rockall Bank","European Union"
"206","HADVIIb-k",NA,"multinational-ICES-VIIb-k","Haddock ICES VIIb-k","European Union"
"207","HAKEMEDGSA1-7",NA,"multinational-GFCM-GSA1-7","Hake Geographical Sub-Areas 1-7","Mediterranean-Black Sea"
"208","HAKEMEDGSA15-16",NA,"multinational-GFCM-GSA15-16","Hake Malta Island and South of Sicily","Mediterranean-Black Sea"
"209","HAKEMEDGSA17-18",NA,"multinational-GFCM-GSA17-18","Hake Adriatic Sea","Mediterranean-Black Sea"
"210","HAKEMEDGSA19",NA,"multinational-GFCM-GSA19","Hake Western Ionian Sea","Mediterranean-Black Sea"
"211","HAKEMEDGSA20",NA,"multinational-GFCM-GSA20","Hake Eastern Ionian Sea","Mediterranean-Black Sea"
"212","HAKEMEDGSA22-23",NA,"multinational-GFCM-GSA22-23","Hake Aegean Sea and Crete Island","Mediterranean-Black Sea"
"213","HAKEMEDGSA9-11",NA,"multinational-GFCM-GSA9-11","Hake Geographical Sub-Areas 9-11","Mediterranean-Black Sea"
"214","HAKENRTN",NA,"multinational-ICES-IIIa-IV-VI-VII-VIIIabd","Hake Northeast Atlantic North","European Union"
"215","HAKESOTH",NA,"multinational-ICES-VIIIc-IXa","Hake Northeast Atlantic South","European Union"
"216","HERR2224IIIa",NA,"multinational-ICES-22-24-IIIa","Herring ICES 22-24-IIIa","European Union"
"217","HERR2529-32",NA,"multinational-ICES-2529-32","Herring Subdivisions 25-29 and 32","European Union"
"218","HERR30-31",NA,"multinational-ICES-30-31","Herring Subdivisions 30-31","European Union"
"219","HERR4RFA",NA,"Canada-DFO-4R","Herring NAFO 4R fall spawners","Canada East Coast"
"220","HERR4RSP",NA,"Canada-DFO-4R","Herring NAFO 4R spring spawners","Canada East Coast"
"221","HERR4TFA",NA,"Canada-DFO-4T","Herring NAFO 4T fall spawners","Canada East Coast"
"222","HERR4TSP",NA,"Canada-DFO-4T","Herring NAFO 4T spring spawners","Canada East Coast"
"223","HERR4VWX",NA,"Canada-DFO-4VWX","Herring Scotian Shelf and Bay of Fundy","Canada East Coast"
"224","HERRIsum",NA,"multinational-ICES-Va","Herring Iceland (Summer spawners)","Europe non EU"
"225","HERRNIRS",NA,"multinational-ICES-VIIa","Herring Northern Irish Sea","European Union"
"226","HERRNORSS",NA,"multinational-ICES-I-II-IVa-V-XIVa","Norwegian Spring Spawning Herring","Europe non EU"
"227","HERRNS-IIIa-VIId",NA,"multinational-ICES-IIIa-IV-VIId","Herring IIIa, VIId and North Sea","European Union"
"228","HERRNWATLC",77247,"USA-NMFS-NWATLC","Atlantic herring Northwestern Atlantic Coast","US East Coast"
"229","HERRPWS",NA,"USA-AKSTATE-PWS","Pacific herring Prince William Sound","US Alaska"
"230","HERRRIGA",NA,"multinational-ICES-28","Herring ICES 28","European Union"
"231","HERRSIRS",NA,"multinational-ICES-VIIa-g-h-j","Herring ICES VIIa-g-h-j","European Union"
"232","HERRSITKA",NA,"USA-AKSTATE-SITKA","Pacific herring Sitka","US Alaska"
"233","HERRVIa",NA,"multinational-ICES-VIa","Herring ICES VIa","European Union"
"234","HERRVIaVIIbc",NA,"multinational-ICES-VIa-VIIb-VIIc","Herring ICES VIa-VIIb-VIIc","European Union"
"235","HMACKIIa-IVa-Vb-VIa-VII-VIII",NA,"multinational-ICES-IIa-IVa-Vb-VIa-VII-VIII","Horse mackerel IIa-IVa-Vb-VIa-VII-VIII","European Union"
"236","HMACKIXa",NA,"multinational-ICES-IXa","Horse mackerel Portugese Waters -East","European Union"
"237","HMACKWA",NA,"multinational-FAO-WA","Horse Mackerel West Africa","West Africa"
"238","HOKIENZ",73100,"New Zealand-MFish-ENZ","Hoki Eastern New Zealand","New Zealand"
"239","HOKIWNZ",119800,"New Zealand-MFish-WNZ","Hoki Western New Zealand","New Zealand"
"240","JAMBERJPN",134880.3277,"Japan-FAJ-JPN","Japanese amberjack Japan","Russia Japan"
"241","JANCHOPJPN",265609.5972,"Japan-FAJ-PJPN","Japanese anchovy Pacific Coast of Japan","Russia Japan"
"242","JANCHOSETO",69571.404,"Japan-FAJ-SETO","Japanese anchovy Inland Sea of Japan","Russia Japan"
"243","JANCHOTSST",149715.1118,"Japan-FAJ-TSST","Japanese anchovy Tsushima Strait","Russia Japan"
"244","JCSQUIDJPNAR",300926.458,"Japan-FAJ-JPNAR","Japanese flying squid Japan Autumn recruitment","Russia Japan"
"245","JCSQUIDJPNWR",222668.703,"Japan-FAJ-JPNWR","Japanese flying squid Japan Winter recruitment","Russia Japan"
"246","JMACKPJPN",70940.57896,"Japan-FAJ-PJPN","Japanese jack mackerel Pacific Coast of Japan","Russia Japan"
"247","JMACKTSST",175541.5181,"Japan-FAJ-TSST","Japanese jack mackerel Tsushima Strait","Russia Japan"
